operação;Data;hora;Moeda;quantidade;Valor (Custo FIFO);Ativo_Contraparte;Valor_Recebido_Contraparte;Fees
Compra;2019-05-13;12:04:34;Bitcoin;0.07178009;2152,67;BRL;2152,67;0,0003589
Compra;2019-05-13;12:04:34;Bitcoin;0.01324825;397,31;BRL;397,31;6,624e-05
Retirada para carteira externa;2019-05-15;09:46:39;Bitcoin;0.17130544;4568,34;Carteira Externa;0,0;0,00028908
Entrada Fiat;2019-05-24;10:03:34;BRL;;5000,0;Banco;5000,0;0,0
Compra;2019-05-24;10:04:44;Bitcoin;0.1540843;5000,02;BRL;5000,02;0,00077042
Retirada para carteira externa;2019-05-24;10:09:19;Bitcoin;0.15288026;4894,37;Carteira Externa;0,0;0,00043362
Entrada Fiat;2019-06-27;11:10:03;BRL;;1000,0;Banco;1000,0;0,0
Compra;2019-06-27;12:50:30;Bitcoin;0.0010982;50,34;BRL;50,34;5,49e-06
Compra;2019-06-27;12:50:30;Bitcoin;0.02071204;949,45;BRL;949,45;0,00010356
Retirada para carteira externa;2019-06-27;12:53:15;Bitcoin;0.02132719;692,07;Carteira Externa;0,0;0,000374
Entrada Fiat;2019-06-28;09:14:17;BRL;;2000,0;Banco;2000,0;0,0
Compra;2019-06-28;09:28:00;Bitcoin;0.00133674;61,16;BRL;61,16;3,34e-06
Compra;2019-06-28;09:28:02;Bitcoin;0.03349912;1532,58;BRL;1532,58;8,375e-05
Compra;2019-06-28;09:35:21;Bitcoin;0.00885016;406,47;BRL;406,47;2,213e-05
Retirada para carteira externa;2019-06-28;09:37:39;Bitcoin;0.04317662;1885,01;Carteira Externa;0,0;0,00040018
Entrada Fiat;2019-07-09;17:23:09;BRL;;2000,0;Banco;2000,0;0,0
Compra;2019-07-09;17:26:09;Bitcoin;0.04241782;2000,0;BRL;2000,0;0,00021209
Retirada para carteira externa;2019-07-09;17:31:16;Bitcoin;0.04208573;1944,95;Carteira Externa;0,0;0,00012
Entrada Fiat;2019-07-23;17:52:52;BRL;;3000,0;Banco;3000,0;0,0
Compra;2019-07-23;19:25:35;Bitcoin;0.01413034;543,59;BRL;543,59;7,065e-05
Compra;2019-07-23;19:25:35;Bitcoin;0.02486108;956,41;BRL;956,41;0,00012431
Compra;2019-07-25;23:23:42;Bitcoin;0.00114459;42,49;BRL;42,49;2,86e-06
Compra;2019-07-25;23:24:27;Bitcoin;0.02970121;1102,51;BRL;1102,51;7,425e-05
Compra;2019-07-27;22:14:08;Bitcoin;0.00980663;355,0;BRL;355,0;2,452e-05
Retirada para carteira externa;2019-07-28;20:43:52;Bitcoin;0.07919766;3289,26;Carteira Externa;0,0;0,0001496
Entrada Fiat;2019-09-25;11:45:21;BRL;;2000,0;Banco;2000,0;0,0
Compra;2019-09-25;11:54:20;XRP;87.51;92,76;BRL;92,76;0,218775
Compra;2019-09-25;11:56:10;XRP;997.39566;1057,24;BRL;1057,24;2,493489
Compra;2019-10-04;16:13:58;Ethereum;0.0346151;25,1;BRL;25,1;8,654e-05
Compra;2019-10-04;16:58:28;XRP;41.712264;43,8;BRL;43,8;0,20856127
Compra;2019-10-04;16:58:28;XRP;38.374411;40,29;BRL;40,29;0,19187201
Compra;2019-10-04;16:58:28;XRP;40.335801;42,35;BRL;42,35;0,20167895
Compra;2019-10-04;16:58:28;XRP;284.339429;298,56;BRL;298,56;1,42169678
Compra;2019-10-04;17:02:48;Ethereum;0.5515918;399,9;BRL;399,9;0,00137898
Retirada para carteira externa;2019-10-04;17:14:16;XRP;1484.921491;1570,02;Carteira Externa;0,0;0,01
Retirada para carteira externa;2019-10-04;17:22:49;Ethereum;0.58469518;413,5;Carteira Externa;0,0;4,62e-05
Entrada Fiat;2019-10-07;09:47:02;BRL;;3000,0;Banco;3000,0;0,0
Compra;2019-10-07;09:49:37;Ethereum;1.37551582;1000,0;BRL;1000,0;0,00687758
Compra;2019-10-07;09:54:20;XRP;394.653051;445,96;BRL;445,96;1,97326536
Compra;2019-10-07;09:54:20;XRP;686.52394;775,77;BRL;775,77;3,43261989
Compra;2019-10-07;09:54:20;XRP;688.734513;778,27;BRL;778,27;3,44367275
Retirada para carteira externa;2019-10-07;20:38:51;XRP;1761.051947;1989,61;Carteira Externa;0,0;0,01
Retirada para carteira externa;2019-10-07;20:42:42;Ethereum;1.36859204;994,86;Carteira Externa;0,0;4,62e-05
Entrada Fiat;2019-10-29;18:05:14;BRL;;5000,0;Banco;5000,0;0,0
Compra;2019-10-29;18:09:52;XRP;1.169575;1,4;BRL;1,4;0,00584788
Compra;2019-10-29;18:09:52;XRP;314.1275;376,95;BRL;376,95;1,57063766
Compra;2019-10-29;18:09:52;XRP;448.201612;537,84;BRL;537,84;2,24100829
Compra;2019-10-29;18:09:52;XRP;83.99671;100,8;BRL;100,8;0,41998359
Compra;2019-10-29;18:09:52;XRP;102.307693;122,77;BRL;122,77;0,51153852
Compra;2019-10-29;18:09:52;XRP;313.562813;376,27;BRL;376,27;1,56781423
Compra;2019-10-29;18:09:52;XRP;99.5004;119,4;BRL;119,4;0,49750205
Compra;2019-10-29;18:09:52;XRP;195.868076;235,04;BRL;235,04;0,97934048
Compra;2019-10-29;18:09:52;XRP;42.636731;51,16;BRL;51,16;0,21318368
Compra;2019-10-29;18:09:52;XRP;50.0;60,0;BRL;60,0;0,25000003
Compra;2019-10-29;18:09:52;XRP;44.775;53,73;BRL;53,73;0,22387502
Compra;2019-10-29;18:09:52;XRP;188.145125;225,77;BRL;225,77;0,94072572
Compra;2019-10-29;18:09:52;XRP;42.636731;51,16;BRL;51,16;0,21318368
Compra;2019-10-29;18:09:52;XRP;169.0;202,8;BRL;202,8;0,84500009
Compra;2019-10-29;18:09:52;XRP;84.322034;101,19;BRL;101,19;0,42161021
Compra;2019-10-29;18:09:52;XRP;40.5;48,6;BRL;48,6;0,20250002
Compra;2019-10-29;18:09:52;XRP;362.583333;435,1;BRL;435,1;1,81291685
Compra;2019-10-31;10:54:05;Bitcoin;0.05093997;1900,01;BRL;1900,01;0,00012735
Retirada para carteira externa;2019-11-16;17:16:13;XRP;2570.406666;3083,53;Carteira Externa;0,0;0,01
Retirada para carteira externa;2019-11-17;22:11:49;Bitcoin;0.05069294;1876,4;Carteira Externa;0,0;0,00011968
Entrada Fiat;2019-11-25;13:15:25;BRL;;2500,0;Banco;2500,0;0,0
Compra;2019-11-25;14:38:12;Bitcoin;0.02;620,0;BRL;620,0;5e-05
Compra;2019-11-25;14:38:21;Bitcoin;0.01117875;346,54;BRL;346,54;2,795e-05
Compra;2019-11-25;14:38:25;Bitcoin;0.00914383;283,46;BRL;283,46;2,286e-05
Compra;2019-11-25;21:29:52;Bitcoin;0.04078264;1250,0;BRL;1250,0;0,00020391
Entrada Fiat;2019-11-27;18:09:15;BRL;;1000,0;Banco;1000,0;0,0
Compra;2019-11-27;19:01:50;XRP;692.460662;671,69;BRL;671,69;3,462303
Compra;2019-11-27;19:02:40;XRP;56.355932;54,67;BRL;54,67;0,14089
Compra;2019-11-27;19:56:01;XRP;49.753141;48,26;BRL;48,26;0,124383
Compra;2019-11-27;21:42:37;XRP;232.347791;225,38;BRL;225,38;0,580869
Entrada Fiat;2019-12-05;10:25:19;BRL;;3000,0;Banco;3000,0;0,0
Compra;2019-12-05;10:31:46;XRP;1670.315539;1553,39;BRL;1553,39;8,35157774
Compra;2019-12-05;10:31:46;XRP;157.641451;146,61;BRL;146,61;0,78820726
Compra;2019-12-05;10:33:13;Bitcoin;0.03378153;1064,16;BRL;1064,16;0,00016891
Compra;2019-12-05;10:36:27;Bitcoin;0.0024788;77,83;BRL;77,83;6,2e-06
Compra;2019-12-05;10:36:33;Bitcoin;0.0024788;77,83;BRL;77,83;6,2e-06
Compra;2019-12-05;10:36:36;Bitcoin;0.0024788;77,83;BRL;77,83;6,2e-06
Compra;2019-12-05;10:36:40;Bitcoin;7.443e-05;2,34;BRL;2,34;1,9e-07
Retirada para carteira externa;2019-12-05;10:41:54;XRP;2845.416285;2694,65;Carteira Externa;0,0;0,01
Retirada para carteira externa;2019-12-28;15:38:26;Bitcoin;0.12178548;3957,06;Carteira Externa;0,0;0,00011968
Entrada Fiat;2020-01-07;14:45:55;BRL;;3000,0;Banco;3000,0;0,0
Compra;2020-01-07;15:05:10;Ethereum;5.21749943;3000,01;BRL;3000,01;0,0260875
Retirada para carteira externa;2020-01-07;15:23:53;Ethereum;5.0002538;2884,57;Carteira Externa;0,0;4,62e-05
Retirada para carteira externa;2020-01-07;16:11:41;Ethereum;0.19104263;109,85;Carteira Externa;0,0;6,93e-05
Entrada Fiat;2020-01-14;14:24:51;BRL;;2500,0;Banco;2500,0;0,0
Compra;2020-01-14;15:25:22;Ethereum;0.02357816;16,5;BRL;16,5;0,00011789
Compra;2020-01-14;15:25:22;Ethereum;0.04788;33,52;BRL;33,52;0,0002394
Compra;2020-01-14;15:25:22;Ethereum;2.0;1399,96;BRL;1399,96;0,01
Compra;2020-01-14;21:37:54;Bitcoin;0.02090149;760,81;BRL;760,81;0,00010451
Compra;2020-01-14;21:37:54;Bitcoin;0.00794521;289,2;BRL;289,2;3,973e-05
Retirada para carteira externa;2020-01-14;21:46:15;Bitcoin;0.02858278;899,86;Carteira Externa;0,0;0,00011968
